year,mmrU,mmrL,mmr
1980/07,3531.860726,635.3023243,1638.600295
1980/08,3538.353238,624.0115127,1624.655256
1980/10,3544.037758,615.628627,1610.179372
1981/04,3558.122208,593.0977435,1595.96891
1981/06,3546.300551,583.3994683,1581.493026
1981/07,3512.374618,582.9792649,1566.751718
1981/11,3419.407789,585.1326966,1550.94872
1981/12,3359.410164,584.9896402,1534.880299
1982/05,3249.425508,584.8790967,1503.805148
1982/08,3211.061576,,1488.532995
1982/09,3193.32643,576.6237991,1474.057111
1983/01,3141.474117,566.3283721,1446.167033
1983/03,3110.011177,,1431.691148
1983/05,3089.940577,,1418.011532
1983/09,3056.827908,549.6706811,1403.80107
1983/12,3043.413714,545.8442191,1389.856031
1984/01,3033.223609,534.9476992,1376.70726
1984/06,3001.89604,530.0270335,1350.675142
1984/08,2964.328377,525.3600662,1343.631094
1984/10,2940.26082,512.9022418,1335.790778
1985/01,2876.148321,,1328.481307
1985/04,2838.049812,506.3890396,1321.702683
1985/05,2814.740789,501.9432579,1314.393212
1985/10,2804.786253,,1304.96036
1985/12,2799.865588,488.0725057,1296.854621
1986/01,2796.216074,485.3519719,1287.421769
1986/07,2775.85281,478.6449736,1269.617755
1986/09,2748.636634,479.5636082,1259.123212
1986/11,2729.760436,479.939673,1248.894091
1987/03,2679.806427,482.0931047,1238.134125
1987/05,2655.244479,483.8080076,1227.374159
1987/07,2650.575166,480.8662881,1218.472152
1987/12,2647.966339,,1217.389771
1988/01,2647.823282,471.726248,1217.246714
1988/04,2647.712739,463.7753885,1217.103658
1988/08,2662.018374,466.1500058,1221.860578
1988/10,2672.492228,,1224.637171
1988/12,2680.457038,468.6611769,1228.210033
1989/06,2701.033153,475.70286,1236.152026
1989/08,2702.217211,479.0102993,1241.052002
1989/10,2702.106667,482.173303,1245.951977
1990/03,2698.907407,489.2240503,1256.282774
1990/05,2699.560619,492.5314896,1260.917327
1990/07,2711.50677,494.7655136,1266.613571
1990/11,2764.225047,499.5731727,1272.309815
1991/01,2792.747647,,1278.536905
1991/03,2812.025969,501.818921,1284.233149
1991/07,2876.800941,502.9912541,1293.114466
1991/10,2925.761093,514.4214767,1315.797765
1991/11,2945.85519,521.1794116,1340.86987
1992/01,3022.885127,525.8022404,1366.207397
1992/05,3071.579855,540.1651182,1390.748656
1992/06,3094.328181,553.8240445,1415.82076
1992/10,3126.475663,563.711091,1459.063977
1992/12,3146.504735,591.6547659,1480.15474
1993/01,3161.582875,,1502.572617
1993/06,3218.178137,605.3136922,1526.052185
1993/07,3283.792236,610.6773598,
1993/08,3324.128709,,1556.167321
1993/10,3435.931587,,1589.202108
1993/12,3503.00551,622.7068624,1622.502317
1994/01,3650.354796,628.6685291,1655.006258
1994/04,3720.75896,632.7162752,1686.713931
1994/07,3838.139656,,
1994/09,3852.329427,651.9009996,1713.378572
1994/11,3862.880031,662.9056985,1737.919831
1995/04,3892.018108,670.9235935,1787.798617
1995/06,3925.58374,693.0391603,1812.339875
1995/08,3959.214398,700.3279408,1832.899793
1995/10,4059.500805,705.6143264,1852.928865
1995/12,4129.903029,,1873.488783
1996/04,4253.942282,718.5173791,1892.456164
1996/06,4315.974842,725.2753141,1912.219814
1996/10,4272.577573,726.4918843,1911.402855
1996/12,4245.095974,721.7000875,1905.951344
1997/01,4226.684266,719.6990719,1905.01202
1997/07,4196.437896,717.1997237,1900.091354
1997/09,4212.485627,729.6604052,1907.114712
1997/10,4222.679989,741.7267951,1914.403492
1998/03,4252.983581,751.2157074,1930.839012
1998/06,4256.556443,775.3107526,1938.127793
1998/07,4226.649586,772.5134688,1935.595932
1998/11,4131.774059,766.253965,1929.082729
1999/01,4071.174204,749.0315364,1921.773259
1999/05,3968.427345,740.3949522,1909.543123
1999/07,3998.20159,736.0376448,1912.585139
1999/11,4119.632594,729.9057292,1920.670188
2000/01,4182.450229,726.8430226,1929.286082
2000/05,4307.605395,724.2994373,1918.014856
2000/07,4347.414964,724.329487,1944.676109
2000/08,4354.09871,726.3098126,1958.97205
2000/12,4375.211641,729.1189192,1965.729985
2001/03,4386.747186,732.5552275,1973.284188
2001/05,4395.43983,734.535553,1980.307545
2001/09,4425.918026,736.0868785,1984.14583
2001/12,4456.232279,741.1557519,1983.859718
2002/06,4472.099219,740.6913114,1989.412905
2002/08,4416.011551,720.8588925,1977.060403
2003/01,4303.961891,711.4260401,1941.207642
2003/03,4243.362036,703.6624741,1923.015839
2003/07,4152.280773,698.8264402,1895.125761
2003/09,4129.045938,704.5226842,1889.939673
2003/11,4112.644941,708.9685644,1885.815275
2004/04,4069.492523,721.3720037,1877.03563
2004/06,4052.096988,716.7167607,1866.01025
2004/08,4056.080458,710.0833202,1851.26894
2004/12,4074.280773,688.1917962,1835.99679
2005/03,4083.16209,,1820.193788
2005/04,4090.881517,678.2280983,1793.602348
2005/08,4016.793281,671.0107278,1783.837141
2005/10,3951.204687,673.0603352,1775.969866
2006/01,3827.248811,675.0406608,1747.018097
2006/04,3762.049504,675.7263855,1732.542212
2006/08,3678.931527,671.7308569,1718.066328
2006/11,3654.104156,665.4830775,1704.917557
2006/12,3636.269876,660.5949245,1690.707095
2007/05,3589.242286,647.0311721,1663.347863
2007/07,3556.452232,637.3328969,1647.014019
2007/09,3532.030778,628.52299,1628.291371
2007/12,3466.679639,605.1050191,1610.099568
2008/03,3427.519439,,1591.111496
2008/04,3404.077705,592.7525166,1572.123425